Facility_Name,Address,Violation_Description,Grade,Longitude,Latitude
Cille's Liquor,8940 International Blvd,Garbage and refuse properly disposed facilities m,G,-122.17472238,37.75007881
La Nieta De Pancho,3300 International Blvd,Hot and cold water available,G,-122.22430025,37.77736592
Oakland Coliseum East #244 Stand Ec#2,7000 Coliseum Way,Equipment/Utensils - approved installed clean g,G,-122.20141371,37.7501469
Fratellanza Club,1140 66th St,Signs posted last inspection report available,G,-122.28679687,37.84885917
Paska Bakery,2370 Telegraph Ave,Food obtained from approved source,G,-122.26808566,37.81359331
Oakland Catholic Worker,4848 International Blvd,Signs posted last inspection report available,G,-122.21062069,37.77036099
Flavor Brigade,929 Main St #a,Signs posted last inspection report available,G,-121.87395076,37.66620324
Oakland Coliseum East Bar #2 & Storage,7000 Coliseum Way,Signs posted last inspection report available,G,-122.20141371,37.7501469
Taylor's Sausage,907 Washington St,"Proper eating, tasting, drinking or tobacco use",G,-122.27500998,37.80071108
Harriet Tubman School,800 33rd St,"Floors, walls and ceilings: built, maintained, and",G,-122.27399736,37.82359847
Oakland Coliseum West #113,7000 Coliseum Way,Equipment/Utensils - approved installed clean g,G,-122.20141371,37.7501469
Panda Express,6851 Amador Plaza Rd 101,Plumbing proper backflow devices,G,-121.92762349,37.70508397
Kfc/taco Bell #142,6035 Telegraph Ave,"Floors, walls and ceilings: built, maintained, and",G,-122.26104041,37.84660169
Modern Coffee,1814 Franklin St,Wiping cloths: properly used and stored,G,-122.26758738,37.80694174
See's Candies,5802 College Ave,Signs posted last inspection report available,G,-122.25193896,37.84626462
Afc Sushi @ Raley's # 315,39200 Paseo Padre Pkwy,Plan Review,G,-121.97897998,37.5538859
Tian Jin Dumplings,989 Franklin St #b,Food contact surfaces: clean and sanitized,G,-122.27212298,37.80088747
Thrive Cafe- Peet's Kiosk,4432 Rosewood Dr,Wiping cloths: properly used and stored,G,-121.88460552,37.69922567
Kochu,2705 Stoneridge Dr E,Signs posted last inspection report available,G,-121.84903239,37.69556328
Safeway Inc #2870,6310 College Ave,"Toilet facilities: properly constructed, supplied,",G,-122.25178556,37.850674700000006
Main Squeeze,3435 Lakeshore Ave,"Floors, walls and ceilings: built, maintained, and",G,-122.24259169,37.81131139
Joann #2138,43435 Boscell Rd,Signs posted last inspection report available,G,-121.97568284,37.50164624
Cova High School,12500 Campus Dr D-244,Hot and cold water available,G,-122.16804886,37.78831649
Kingfish Pub & Cafe,5227 Telegraph Ave,Food contact surfaces: clean and sanitized,G,-122.26255593,37.83844472
Oakland Coliseum East #143,7000 Coliseum Way,Personal cleanliness and hair restraints,G,-122.20141371,37.7501469
Mattson Technology Inc Cafeteria,47131 Bayside Pkwy,Thermometers provided and accurate,G,-121.93933442,37.47775161
Market Street Shell,610 Market St,Adequate handwashing facilities supplied & accessi,G,-122.28256813,37.80224895
Rainbow Recreation Center,5800 International Blvd,"Warewashing facilities: installed, maintained, use",G,-122.20100522,37.76582258
Lydiksen Elementary School,7700 Highland Oaks,Proper hot and cold holding temperatures,G,-121.92082671,37.68143938
Bandao Beef Noodle,2705 Stoneridge Dr B,"Proper eating, tasting, drinking or tobacco use",G,-121.84903239,37.69556328
Springhill Suites,195 Hegenberger Rd,Garbage and refuse properly disposed facilities m,G,-122.19883936,37.73226297
The Cook And Her Farmer,907 Washington St F,Adequate handwashing facilities supplied & accessi,G,-122.27500998,37.80071108
Genji,5200 Dublin Blvd,Food storage food storage containers identified,G,-121.89034133,37.70627145
Beverages & More,5171 Mowry Ave,"No rodents, insects, birds, or animals",G,-122.00013658,37.53426210000001
Keller Market,4400 Keller Ave #100,Equipment/Utensils - approved installed clean g,G,-122.14494077,37.77261767
Snack Shack,491 Loyola Way,Signs posted last inspection report available,G,-121.74141829,37.68611703
Luv 2 Play,7871 Amador Valley Blvd,Premises personal/cleaning items vermin-proofing,G,-121.93563970000001,37.70704635
Oakland Coliseum West #227,7000 Coliseum Way,"Warewashing facilities: installed, maintained, use",G,-122.20141371,37.7501469
Jack London Inn,444 Embarcadero West,Signs posted last inspection report available,G,-122.25402297,37.78808064
The Golden Squirrel,5940 College Ave J,Proper hot and cold holding temperatures,G,-122.2521457,37.84820545
In-n-out Burger #193,8300 Oakport St,Food separated and protected,G,-122.19815146,37.74061489
Parker School,7929 Ney Ave,Equipment/Utensils - approved installed clean g,G,-122.16545190000001,37.76550986
Cafe Colucci,6427 Telegraph Ave,Food contact surfaces: clean and sanitized,G,-122.26053408,37.85024466
Chick-fil-a,5785 Johnson Dr,Equipment/Utensils - approved installed clean g,G,-121.91226551,37.70119392
Oakland Coliseum West #227 Hol-n-jam,7000 Coliseum Way,Signs posted last inspection report available,G,-122.20141371,37.7501469
Biryaniz,6830 Village Pkwy,Proper hot and cold holding temperatures,G,-121.92442588,37.70651299
Share Tea,7375 Amador Valley Blvd 110,Plan Review,G,-121.92750264,37.71034533
Fresh & Natural Refresh Bar,275 W Macarthur Blvd,Nonfood-contact surfaces clean,G,-122.25727591,37.82371987
Afc Sushi/hot Wok @ Safeway #2856,6790 Bernal Ave,"Approved thawing methods used, frozen food",G,-121.89944912,37.65611137
Centerville Presbyterian Church Dining Room,4360 Central Ave,Adequate handwashing facilities supplied & accessi,G,-122.00692137,37.55260888
East Oakland Switch Board,1909 73rd Ave,Adequate ventilation and lighting designated area,G,-122.18240146,37.76233565
Micros Market,4428 Martin L King Jr Way,No unapproved private homes / living or sleeping q,G,-122.26721432,37.83339016
Jenny Craig #3008,4233 Rosewood Dr 10,"Equipment, utensils and linens: storage and use",G,-121.87574144,37.69895462
Oakland Coliseum West Bp #231,7000 Coliseum Way,Signs posted last inspection report available,G,-122.20141371,37.7501469
Comfort Inn,8452 Edes Ave,Equipment/Utensils - approved installed clean g,G,-122.19520844,37.74135315
Coliseum West V3,7000 Coliseum Way,Adequate handwashing facilities supplied & accessi,G,-122.20141371,37.7501469
Concannon Vineyard Wine Tasting Room,4590 Tesla Rd,"Floors, walls and ceilings: built, maintained, and",G,-121.73999702,37.66674875
Dublin Chevron,7007 San Ramon Rd,Proper hot and cold holding temperatures,G,-121.93613019,37.70276953
Starbucks Coffee #2994,801 Broadway,Garbage and refuse properly disposed facilities m,G,-122.27358143,37.8005448
Annachi Kadai,4833 Hopyard Rd E1,Adequate handwashing facilities supplied & accessi,G,-121.9017686,37.69288046
"Dublin Valero, Inc.",7840 Amador Valley Blvd,Signs posted last inspection report available,G,-121.93448955,37.70600895
Siddhartha Intl,36464 Fremont Blvd,"Floors, walls and ceilings: built, maintained, and",G,-122.01474312,37.56218424
Downtown Charter Academy,2000 Dennison St,"Floors, walls and ceilings: built, maintained, and",G,-122.24127214,37.77948124
Knowland Park Snack Bar-rides Area,9777 Golf Links Rd,Plumbing proper backflow devices,G,-122.15355801,37.75585617
Oakland Coliseum West #204,7000 Coliseum Way,"Warewashing facilities: installed, maintained, use",G,-122.20141371,37.7501469
Spectrum Center,6325 Camden St,Sewage and wastewater properly disposed,G,-122.18264486,37.77293367
Cafe Joy The Atrium,5776 Stoneridge Mall Rd 110,Demonstration of knowledge food manager certifica,G,-121.92674817,37.69377139
Parliament,811 Washington St,"No rodents, insects, birds, or animals",G,-122.27516100000001,37.80046901
Aiban Market,701 60th St,Plumbing proper backflow devices,G,-122.26850062,37.84528451
Virgin World Foods,5321 Hopyard Rd F,Food storage food storage containers identified,G,-121.90300887,37.69695817
Redwood Heights,4401 39th Ave,"Floors, walls and ceilings: built, maintained, and",G,-122.1881489,37.79582028
Aspire Lionel Wilson College Preparatory,400 105th Ave,"Equipment, utensils and linens: storage and use",G,-122.1804088,37.72968873
Chadbourne,801 Plymouth Ave,Equipment/Utensils - approved installed clean g,G,-121.94030817,37.54356021
Cornerstone Baptist Church-pantry/distribution,3535 38th Ave,Signs posted last inspection report available,G,-122.19941438,37.78994458
Lam Research,4300 Cushing Pkwy,Equipment/Utensils - approved installed clean g,G,-121.95215186,37.48900796
Rite Aid #5944,2819 Hopyard Rd,Proper hot and cold holding temperatures,G,-121.89607933,37.67535553
Jack In The Box #j433,4425 Telegraph Ave,"Equipment, utensils and linens: storage and use",G,-122.26392936,37.83279471
Viridian,2214 Broadway,Proper hot and cold holding temperatures,G,-122.26655247,37.811087799999996
Oakland Coliseum East Bar #3,7000 Coliseum Way,Hot and cold water available,G,-122.20141371,37.7501469
Munchner Haus Deli,39212 Fremont Blvd,Plan Review,G,-121.98474444,37.54774564
Panera Bread #1121,7030 Amador Plz,Plan Review,G,-121.92909223,37.70653024
The Lede,906 Washington St,Adequate handwashing facilities supplied & accessi,G,-122.27504556,37.80060233
Markham Elementary School,7220 Krause St,Signs posted last inspection report available,G,-122.17863727,37.76551135
Garfield Elem. Sch. Caf,1640 22nd Ave,Signs posted last inspection report available,G,-122.23547204,37.78711224
Mission Peak Hall Association,40955 Fremont Blvd,Plumbing proper backflow devices,G,-121.96090148,37.53388832
Round Table Pizza,7841 Amador Valley Blvd,"Floors, walls and ceilings: built, maintained, and",G,-121.93499538,37.70714317
Burger King #2795,5315 Hopyard Rd,Plumbing proper backflow devices,G,-121.90295662,37.69689537
Buckingham Wine And Spirits,3293 Lakeshore Ave,Equipment/Utensils - approved installed clean g,G,-122.24453713,37.81061411
Merritt College (fresh & Natural),12500 Campus Dr,Hot and cold water available,G,-122.16804886,37.78831649
Schwan's Home Services Inc,5120 Brandin Ct,Equipment/Utensils - approved installed clean g,G,-121.96575959,37.50272273
Andale Prep/storage Room 1151,1 Airport Dr,Adequate handwashing facilities supplied & accessi,G,-122.20120923,37.72287609
American Indians (aims) At Roosevelt Middle School,1926 E 19th St,"Toxic substances properly identified, stored, used",G,-122.23655359999998,37.78901969
La Cascada,1940 Union St 10,Demonstration of knowledge food manager certifica,G,-122.28617881,37.81451678
Chuck E Cheese's Pizza,39839 Mowry School Rd,Food contact surfaces: clean and sanitized,G,-121.99221822,37.523268
Good Eggs Inc,985 Third St B,Wiping cloths: properly used and stored,G,-122.28523474,37.80017575
7-eleven Food Store #20009,2350 Harrison St,"Floors, walls and ceilings: built, maintained, and",G,-122.26190475,37.81195271
El Cafecito Espresso,5860 Owens Dr,Signs posted last inspection report available,G,-121.89902024,37.69928146
Boba,7000 Coliseum Way,Hands clean and properly washed gloves used prope,G,-122.20141371,37.7501469
Popeye's Chicken,7007 International Blvd,Adequate handwashing facilities supplied & accessi,G,-122.18938743,37.76027048
Oakland Coliseum West Bp #129,7000 Coliseum Way,Proper hot and cold holding temperatures,G,-122.20141371,37.7501469
Taco Bell #30742,6900 Bancroft Ave,Adequate handwashing facilities supplied & accessi,G,-122.17934992,37.76810591
Prince Of Peace Lutheran School,38451 Fremont Blvd,Proper hot and cold holding temperatures,G,-121.99485874,37.55189699
Guatelinda Express #1,3300 Int'l Blvd,Signs posted last inspection report available,G,-122.22429997,37.77736598
Arroyo Viejo Recreation Day Use Kit,7701 Krause Ave,Premises personal/cleaning items vermin-proofing,G,-122.17553138,37.76154555
The Red Door Group,2925 Adeline St,Proper hot and cold holding temperatures,G,-122.28151814,37.82240865
Laurel Elementary School,3750 Brown Ave,Adequate handwashing facilities supplied & accessi,G,-122.19621140000001,37.79280543
Beer Revolution,464 3rd St,Nonfood-contact surfaces clean,G,-122.27629447,37.79692135
Walgreen's #2366,3860 Decoto Rd,Signs posted last inspection report available,G,-122.03181787,37.57155385
Oak Grove Storage Unit #5 102-1031a And 102-1031b,1 Airport Dr 48,Premises personal/cleaning items vermin-proofing,G,-122.20122240000002,37.72288105
Oakland Coliseum East Loge Level Pantry,7000 Coliseum Way,"Floors, walls and ceilings: built, maintained, and",G,-122.20141371,37.7501469
Usa Liquors,1944 90th Ave,"Floors, walls and ceilings: built, maintained, and",G,-122.16958954,37.75179931
Pop's Cafe,43900 Ice House Ter,Proper reheating procedures for hot holding,G,-121.94601474,37.51127608
Oakland Yard,420 40th St 2,Adequate handwashing facilities supplied & accessi,G,-122.26062485,37.82856009
Mission San Jose Elementary,43545 Bryant St,"No rodents, insects, birds, or animals",G,-121.92156395,37.52889119
Grand Mobil,3374 Grand Ave,"Floors, walls and ceilings: built, maintained, and",G,-122.24608908,37.81381726
Leo R. Croce Elementary School,5650 Scenic Ave,Equipment/Utensils - approved installed clean g,G,-121.72836223,37.71705571
Centerville Community Center,3355 Country Dr,Adequate handwashing facilities supplied & accessi,G,-121.98938901,37.55422147
Four Points By Sheraton (coffee Bar & Market),5115 Hopyard Rd,Equipment/Utensils - approved installed clean g,G,-121.90287998,37.69685224
West Oakland Middle School,991 14th St,"Toilet facilities: properly constructed, supplied,",G,-122.28305481,37.8088504
Board And Brush,2321 First St,Signs posted last inspection report available,G,-121.7677486,37.68260751
Oakland Coliseum East Plaza Pantry,7000 Coliseum Way,"Floors, walls and ceilings: built, maintained, and",G,-122.20141371,37.7501469
Pk Market Liquor And Grocery,4342 Thornton Ave B,"Toilet facilities: properly constructed, supplied,",G,-122.01368865,37.55807608
Lh Cafe,39400 Paseo Padre Pkwy,Hot and cold water available,G,-121.97511077,37.55049861
Arizmendi Bakery,3265 Lakeshore Ave,Equipment/Utensils - approved installed clean g,G,-122.24487559,37.81078187
Oakland Coliseum West #108 Snack Bar,7000 Coliseum Way,Signs posted last inspection report available,G,-122.20141371,37.7501469
Unity High School,6038 Brann St,Demonstration of knowledge food manager certifica,G,-122.18484781,37.77305295
Stonehurst School,10315 E St,"No rodents, insects, birds, or animals",G,-122.17669817,37.7410583
Yu Ming Charter School,675 41st St,Hot and cold water available,G,-122.26902558,37.83070353
Clark W. Redeker Newark Senior Center,7401 Enterprise Dr,"Warewashing facilities: installed, maintained, use",G,-122.03699118,37.52475761
Broadway Shell,5755 Broadway,Signs posted last inspection report available,G,-122.24687421,37.84379798
Earl Anthony's Dublin Bowl,6750 Regional St,"No rodents, insects, birds, or animals",G,-121.93308696,37.70157906
Rikyu,5335 College Ave #2,"Floors, walls and ceilings: built, maintained, and",G,-122.25134428,37.83854489
Coliseum West Bp #321,7000 Coliseum Way,Adequate handwashing facilities supplied & accessi,G,-122.20141371,37.7501469
24 Hour Fitness,4500 Auto Mall Dr,Signs posted last inspection report available,G,-121.95817194,37.50946676
Cine Lounge Fremont 7,39160 Paseo Padre Pkwy,"Toxic substances properly identified, stored, used",G,-121.98025032,37.55315887
Dr H Guice Christian Academy,6925 International Blvd,"Warewashing facilities: installed, maintained, use",G,-122.18953135,37.76034925
Yammy's Deli & Cafe,542 9th St B,Equipment/Utensils - approved installed clean g,G,-122.27560255,37.80179339
Mosswood Recreation Center,3612 Webster St,Plan Review,G,-122.26050097,37.82396878
Hintil Kuu Ca Child Care,11900 Campus Dr 1/2,Equipment/Utensils - approved installed clean g,G,-122.17406229999999,37.79522025
Hana Japan Steak House,7298 San Ramon Rd,Proper hot and cold holding temperatures,G,-121.93677798,37.70540138
Clorox,4900 Johnson Dr,Food storage food storage containers identified,G,-121.90669960000001,37.69335244
Togo's Eatery #332554,7147 Amador Plaza Rd,Proper hot and cold holding temperatures,G,-121.92888763,37.70709085
Horace Mann School Cafe,5222 Ygnacio Ave,"No rodents, insects, birds, or animals",G,-122.20122396,37.773514
District,827 Washington St,"Equipment, utensils and linens: storage and use",G,-122.27513583,37.80050935
Los Camelleos Tienda,5913 International Blvd,Nonfood-contact surfaces clean,G,-122.1989524,37.7648156
Artesania Guatelinda Mendoza,3650 International Blvd,Adequate handwashing facilities supplied & accessi,G,-122.22083979,37.77550596
Yu Ming Charter School,1086 Alcatraz Ave,Nonfood-contact surfaces clean,G,-122.28435377,37.847042200000004
Ghirardelli Chocolate Outlet,2770 Livermore Outlets Dr #765,Hot and cold water available,Y,-121.84545558,37.69843283
Vacceb,655 International Blvd,"No rodents, insects, birds, or animals",G,-122.25263036,37.79465256
Lockwood School,6701 International Blvd,Hot and cold water available,G,-122.19275748,37.76188315
Cafe La Fong's,5885 Bancroft Ave,Equipment/Utensils - approved installed clean g,G,-122.19673601,37.77155793
Allen Temple Baptist Church,8501 International Blvd,Signs posted last inspection report available,G,-122.17714912,37.7532955
Fuel 24:7,5509 Martin L King Jr Way,Proper hot and cold holding temperatures,G,-122.27022137,37.84002137
Colonial Donuts,1000 Broadway #106,Wiping cloths: properly used and stored,G,-122.27209077,37.80161642
Sushi Avenue,2840 Dublin Blvd,Equipment/Utensils - approved installed clean g,G,-121.85370663,37.70442512
Weight Watchers,39152 Paseo Padre Pkwy,Hot and cold water available,G,-121.98029815,37.55318388
Youth Empowerment School,8251 Fontaine St,"Floors, walls and ceilings: built, maintained, and",G,-122.15268998,37.76515449
Chipotle Mexican Grill #976,5565 Automall Pkwy,Food contact surfaces: clean and sanitized,G,-121.97554914,37.50431242
Hopkins Jr High,600 Driscoll Rd,Equipment/Utensils - approved installed clean g,G,-121.94239418,37.54618309
Gigi,4290 Stanley Blvd,"Warewashing facilities: installed, maintained, use",G,-121.87292392,37.66569783
Holy Names:rosies Cafe-brennan Hall,3500 Mountain Blvd,Equipment/Utensils - approved installed clean g,G,-122.18485105,37.79875552
Brier Elementary,39201 Sundale Dr,"Food in good condition, safe and unadulterated",G,-121.98522481,37.53857219
Taco Bell #31451,6030 Johnson Dr,Plumbing proper backflow devices,G,-121.91672701,37.701240999999996
Joann #2189,7177 Amador Plaza Rd,"Floors, walls and ceilings: built, maintained, and",G,-121.92878732,37.70789557
Bentley School,1 Hiller Dr,Demonstration of knowledge food manager certifica,G,-122.23209382,37.85361117
Rockin Jump Dublin,5875 Arnold Rd #100,Plumbing proper backflow devices,G,-121.89315404,37.71226548
The Habit Burger Grill,5108 Broadway St K-105,Nonfood-contact surfaces clean,G,-122.25187242,37.83508477
Patxi's Pizza,5130 Dublin Blvd,Proper hot and cold holding temperatures,G,-121.88953244,37.70625765
